LOAD_ID,STOP_SEQ,WEEK_NUM,CARR_CD,ETA_weekday,DELIVERY_DTT_weekday,IOD_REPORT_DTT_weekday,FAIL_REASON,SRVC_CD,SHPD_DTT,IOD_REPORT_DTT,ETA,DROP_APT,RDD_DTT,DELIVERY_DTT,CUST_NAME,PRO_NO,DEST_ADDR,SHPD_DTT_weekday
10666463,2,22,HSXF,Friday,Wendesday,Thursday,BUSHOUR,SPOT,5/6/2020 12:54,5/28/2020 19:08,5/22/2020 11:09,,5/5/2020 0:00,5/27/2020 15:30,DMG CORPORATION,10666463,"94-485 KOAKI ST ATTN-PO#53308 WAIPAHU, HI 96797 USA",Wendesday
10702161,2,23,HSXF,Tuesday,Tuesday,Wendesday,BUSHOUR,SPOT,5/21/2020 13:40,6/3/2020 13:04,6/2/2020 16:09,,5/25/2020 0:00,6/2/2020 15:00,DMG CORPORATION,10702161,"91-270 HANUA STREET ATTN: DEN KAPOLEI, HI 96707 USA",Thursday
10692794,2,23,HSXF,Thursday,Wendesday,Thursday,BUSHOUR,SPOT,5/21/2020 13:40,6/4/2020 14:47,6/4/2020 16:09,,5/19/2020 0:00,6/3/2020 15:35,DMG CORPORATION,10692794,"94-1388 MOANIANI STREET 414 ATTN: ADAM N. WAIPAHU, HI 96797 USA",Thursday
10696568,2,24,HSXF,Tuesday,Thursday,Friday,BUSHOUR,SPOT,5/28/2020 18:18,6/12/2020 15:00,6/9/2020 16:09,,5/15/2020 0:00,6/11/2020 10:30,TRANSOURCE SERVICES CORP,10696568,"BUILDING 2268 2368 CENTRAL AVENUE EIELSON AFB, AK 99702 USA",Thursday
10751396,2,28,HSXF,Monday,Wendesday,Friday,BUSHOUR,SPOT,6/16/2020 16:39,7/10/2020 13:59,7/6/2020 15:11,,6/10/2020 0:00,7/8/2020 16:00,DMG CORPORATION,10751396,"213 MERCURY STREET HONOLULU, HI 96818 USA",Tuesday
10770641,2,28,HSXF,Friday,Wendesday,Friday,BUSHOUR,SPOT,6/16/2020 16:39,7/10/2020 14:24,7/3/2020 15:11,,6/12/2020 0:00,7/8/2020 15:45,DMG CORPORATION,10770641,"74-5612 PAWAII PLACE ATTN: ERIC CHENG KAILUA KONA, HI 96740 USA",Tuesday
10826340,2,30,HSXF,Friday,Thursday,Friday,BUSHOUR,SPOT,7/10/2020 14:39,7/24/2020 18:20,7/24/2020 15:03,,6/18/2020 0:00,7/23/2020 14:30,TRANSOURCE SERVICES CORP,10826340,"2368 CENTRAL AVENUE BUILDING 2368 EIELSON AFB, AK 99702 USA",Friday
10800555,3,30,HSXF,Wendesday,Monday,Tuesday,BUSHOUR,SPOT,6/29/2020 13:05,7/21/2020 20:25,7/22/2020 15:03,,6/29/2020 0:00,7/20/2020 15:00,DMG CORPORATION,10800555,"91-270 HANUA STREET SUITE 2 ATTN-C/O AIR CENTRAL LLC KAPOLEI, HI 96707 USA",Monday
10801596,2,30,HSXF,Wendesday,Monday,Tuesday,BUSHOUR,SPOT,6/30/2020 19:52,7/21/2020 20:25,7/22/2020 15:03,,6/18/2020 0:00,7/20/2020 15:00,LGEAI SERVICE,10801596,"710 KOHOU ST HONOLULU, HI 96817 USA",Tuesday
10800555,2,30,HSXF,Wendesday,Monday,Tuesday,BUSHOUR,SPOT,6/29/2020 13:05,7/21/2020 20:25,7/22/2020 15:03,,6/24/2020 0:00,7/20/2020 15:00,DMG CORPORATION,10800555,"91-270 HANUA STREET SUITE 2 KAPOLEI, HI 96707 USA",Monday
